myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-04-02;7,993551587;13,63401333;15,51708333;65,20505952;0,048333333;163,6083333;527,2916667;562,5277778;1,551136364;9,508686381;0,612372469;2,779584398;26,63213057
2021-04-03;11,52172952;19,87467064;15,83416667;64,98244048;0,000833333;155,1416667;516,9583333;563,0555556;1,596590909;13,78281856;0,791487079;2,364980997;22,60852032
2021-04-04;11,77013889;20,1446845;15,95625;64,58214286;0,02625;172,5666667;518,0833333;562,75;1,610227273;13,28249395;0,704315077;3,197512968;21,63656457
2021-04-05;12,52982767;22,3066766;16,32291667;61,08303054;0,03125;210,8706522;514,8333333;562,8103865;1,769598155;16,73363526;0,824963105;3,610859582;23,09324623
2021-04-06;8,203022817;19,60966247;15,13376812;64,15213509;0,106594203;155,7514493;528,2608696;563,4305556;1,64314888;16,4882508;0,866284415;2,469220286;17,28038586
2021-04-07;11,1724873;25,36174062;14,89583333;66,9510119;0,075;188,475;568;563,625;1,372348485;19,36277778;1,026508472;4,224162505;13,60786879
2021-04-08;15,29827674;27,97405485;14,79961957;71,56910455;0,356956522;152,0416667;577,75;563,4547101;0,999884717;24,55630699;1,141338779;3,328692026;11,20667504
2021-04-09;9,762431129;21,60776038;14,5475;66,02845238;0,017916667;142,7833333;544,375;563,8888889;1,528409091;20,09061667;0,9142595;3,019580152;16,14254625
2021-04-10;14,75436594;32,57410319;15,02083333;66,39380952;0,01625;175,6833333;585,4166667;563,4444444;1,188636364;17,18174886;0,915522862;4,346676904;18,7652363
2021-04-11;9,470715812;17,1329241;16,22208333;63,21607143;0,000416667;217,8583333;558,0416667;562,9722222;1,515909091;12,45369696;0,615007979;4,844022724;18,69944425
2021-04-12;8,203586258;16,13055256;13,67916667;69,27892857;0,182192029;78,275;544,5416667;563,625;1,665151515;14,96891106;0,775383923;4,743471574;15,09519652
2021-04-13;8,034212181;19,1887771;15,08916667;60,65380952;0;186,075;529,625;563,8194444;1,858333333;14,50312325;0,763307658;3,001958156;18,76589937
2021-04-14;7,106735409;16,70855452;15,36791667;61,28488095;0,0025;167,1833333;535,4583333;564,0694444;1,879166667;15,02027671;0,747118548;3,313019783;18,10237365
2021-04-15;9,844964275;24,20965778;15,01;62,29803571;0,004583333;199,5583333;568,5833333;563,3333333;1,603030303;17,40567501;0,905093958;3,24580423;12,77564172
2021-04-16;13,24090909;30,11890496;15,5425;63,4147619;0,011666667;218,7416667;553,875;563,1805556;1,273106061;18,04878308;0,651187862;2,88787016;19,86596466
2021-04-17;6,423652139;13,70406186;15,28125;63,61255952;0,3325;162,2416667;519,625;563,9305556;1,679166667;12,96146226;0,483262494;4,81902154;21,20813923
2021-04-18;8,987534435;16,41977143;15,36958333;67,09053571;0,005416667;152,275;529,4583333;563,75;1,315151515;13,05042075;0,501152271;3,533794323;20,67895297
